trace_id,timestamp,layer,status,bank_date,bank_narration,bank_amount,bank_utr,gateway_order_ids,gateway_payment_ids,gateway_utrs,gateway_net_amounts,gateway_total_net,ledger_order_ids,ledger_expected_amounts,amount_diff,confidence,reason_code,reason,suggested_step
TR-90432B533FB7,2026-09-05T19:37:10.818868,exact,matched,2025-06-07,NEFT HDFC3218196001 RAZORPAY SOFTWAR PVT LTD order_0001,27981.62,HDFC3218196001,order_0001,pay_6bb8b9e0da0a46,HDFC3218196001,27981.62,27981.62,order_0001,28954.49,0.0,1.0,,"Exact UTR match (HDFC3218196001), amount matches to ₹0.00",No action needed — fully reconciled
TR-00C30EF7A5A7,2026-09-05T19:37:10.818870,exact,matched,2025-06-07,BY TRANSFER-NEFT-UTIB5331586923-RAZORPAY SOFTWARE P-order_0024,18966.09,UTIB5331586923,order_0024,pay_401240af77da4b,UTIB5331586923,18966.09,18966.09,order_0024,19625.51,0.0,1.0,,"Exact UTR match (UTIB5331586923), amount matches to ₹0.00",No action needed — fully reconciled
TR-C874B82BD2E1,2026-09-05T19:37:10.818871,exact,matched,2025-07-07,IMPS/UTIB3482477109/RAZORPAY/order_0060/SETTLEMENT,2928.22,UTIB3482477109,order_0060,pay_27cd12ff579046,UTIB3482477109,2928.22,2928.22,order_0060,2999.0,0.0,1.0,,"Exact UTR match (UTIB3482477109), amount matches to ₹0.00",No action needed — fully reconciled
TR-90A0C008A461,2026-09-05T19:37:10.818873,exact,matched,2025-07-08,RTGS/SBIN8087603859/RAZORPAYSOFTWARE/order_0059,2928.22,SBIN8087603859,order_0059,pay_01c6f8fc053542,SBIN8087603859,2928.22,2928.22,order_0059,2999.0,0.0,1.0,,"Exact UTR match (SBIN8087603859), amount matches to ₹0.00",No action needed — fully reconciled
TR-B79FEEAFA195,2026-09-05T19:37:10.818874,exact,matched,2025-06-08,NEFT/BARB4316117240/RAZORPAY SOFTWARE PVT LTD/order_0066,9305.08,BARB4316117240,order_0066,pay_72cda40d8baf45,BARB4316117240,9305.08,9305.08,order_0066,9529.99,0.0,1.0,,"Exact UTR match (BARB4316117240), amount matches to ₹0.00",No action needed — fully reconciled
TR-2444E714FCFE,2026-09-05T19:37:10.818876,exact,matched,2025-06-09,BY TRANSFER-NEFT-KKBK9118384251-RAZORPAY SOFTWARE P-FRESH FOODS CO,40435.45,KKBK9118384251,order_0020,pay_505588a7eaae44,KKBK9118384251,40435.45,40435.45,order_0020,41841.32,0.0,1.0,,"Exact UTR match (KKBK9118384251), amount matches to ₹0.00",No action needed — fully reconciled
TR-FEF0D0D1193F,2026-09-05T19:37:10.818877,tolerant,matched,2025-07-11,BY CLG RAZORPAY STTLMNT order_0007,6555.11,,order_0007,pay_92fe8f5a8c9044,BARB9696532871,6555.11,6555.11,order_0007,6713.55,0.0,0.84,,"Tolerant match — amount diff ₹0.00, date within 2d, fuzzy score 45%",No action needed — matched within tolerance
TR-DBA035B13CF6,2026-09-05T19:37:10.818879,exact,matched,2025-07-12,NEFT HDFC3430980500 RAZORPAY SOFTWAR PVT LTD order_0017,30439.98,HDFC3430980500,order_0017,pay_05940cf5b97447,HDFC3430980500,30439.98,30439.98,order_0017,31498.32,0.0,1.0,,"Exact UTR match (HDFC3430980500), amount matches to ₹0.00",No action needed — fully reconciled
TR-79172C615CD6,2026-09-05T19:37:10.818880,tolerant,matched,2025-06-13,TRF FRM RAZORPAY-0040,33931.99,,order_0040,pay_5a8ed54a219940,KKBK0496631931,33931.99,33931.99,order_0040,35111.74,0.0,0.82,,"Tolerant match — amount diff ₹0.00, date within 0d, fuzzy score 39%",No action needed — matched within tolerance
TR-79182FA97572,2026-09-05T19:37:10.818882,llm_assisted,matched,2025-06-16,TRF FRM RAZORPAY-0053,27753.02,,order_0053 | order_0054 | order_0052,pay_8c93601d916146 | pay_960fb71cb46948 | pay_cd7e84ef6f1447,KKBK3618324210 | KKBK3618324210 | KKBK3618324210,2676.26 | 13862.41 | 11214.35,27753.02,order_0053 | order_0054 | order_0052,2740.95 | 14197.47 | 11485.41,0.0,0.96,,"AI-assisted split match — UTR KKBK3618324210 matches three orders settled on 2025-06-13 and their net amounts sum to the ₹27,753.02 credit with a 3‑day lag; narration references order 0053. Arithmetic verified: diff ₹0.00",AI-matched and arithmetically verified — review if needed
TR-73FC39DB900B,2026-09-05T19:37:10.818884,exact,matched,2025-06-16,BY TRANSFER-NEFT-BARB3654145868-RAZORPAY SOFTWARE P-order_0026,35770.2,BARB3654145868,order_0026,pay_7b15cc5fdcda41,BARB3654145868,35770.2,35770.2,order_0026,37013.87,0.0,1.0,,"Exact UTR match (BARB3654145868), amount matches to ₹0.00",No action needed — fully reconciled
TR-AB9918274EAA,2026-09-05T19:37:10.818886,exact,matched,2025-06-17,NEFT CR-KKBK1669784801-RAZORPAY SOFTWARE PVT-SUNRISE TRADERS,7129.12,KKBK1669784801,order_0008,pay_b15d0dcfa68d49,KKBK1669784801,7129.12,7129.12,order_0008,7301.44,0.0,1.0,,"Exact UTR match (KKBK1669784801), amount matches to ₹0.00",No action needed — fully reconciled
TR-AAA317A5D912,2026-09-05T19:37:10.818888,exact,matched,2025-06-19,MMT/NEFT/HDFC4874016400/RAZORPAY/SETTLMNT/order_0022,12600.07,HDFC4874016400,order_0022,pay_06484b48a01a44,HDFC4874016400,12600.07,12600.07,order_0022,13038.15,0.0,1.0,,"Exact UTR match (HDFC4874016400), amount matches to ₹0.00",No action needed — fully reconciled
TR-18F7276FE34B,2026-09-05T19:37:10.818890,exact,matched,2025-06-19,NEFT HDFC6247317810 RAZORPAY SOFTWAR PVT LTD order_0015,11176.63,HDFC6247317810,order_0015,pay_676b185519a643,HDFC6247317810,11176.63,11176.63,order_0015,11565.21,0.0,1.0,,"Exact UTR match (HDFC6247317810), amount matches to ₹0.00",No action needed — fully reconciled
TR-4D1321A51DA9,2026-09-05T19:37:10.818892,exact,matched,2025-06-05,NEFT/SBIN3421607337/RAZORPAY SOFTWARE PVT LTD/METRO RETAIL,38388.33,SBIN3421607337,order_0025,pay_1f1b65633de247,SBIN3421607337,38388.33,38388.33,order_0025,39723.02,0.0,1.0,,"Exact UTR match (SBIN3421607337), amount matches to ₹0.00",No action needed — fully reconciled
TR-DE9A33F644DB,2026-09-05T19:37:10.818893,tolerant,matched,2025-06-05,BY CLG RAZORPAY STTLMNT order_0013,3572.84,,order_0013,pay_f5f61995dd2147,UTIB5183473829,3572.84,3572.84,order_0013,3659.19,0.0,0.84,,"Tolerant match — amount diff ₹0.00, date within 0d, fuzzy score 45%",No action needed — matched within tolerance
TR-1A372D2EDE31,2026-09-05T19:37:10.818895,exact,matched,2025-06-06,BY TRANSFER-NEFT-SBIN7752047116-RAZORPAY SOFTWARE P-order_0048,4945.62,SBIN7752047116,order_0048,pay_6d632216b4b748,SBIN7752047116,4945.62,4945.62,order_0048,5065.15,0.0,1.0,,"Exact UTR match (SBIN7752047116), amount matches to ₹0.00",No action needed — fully reconciled
TR-9C707DC2A3C6,2026-09-05T19:37:10.818897,exact,matched,2025-06-09,NEFT SBIN5185067165 RAZORPAY SOFTWAR PVT LTD order_0041,34724.79,SBIN5185067165,order_0041,pay_7b082656bf444f,SBIN5185067165,34724.79,34724.79,order_0041,35932.11,0.0,1.0,,"Exact UTR match (SBIN5185067165), amount matches to ₹0.00",No action needed — fully reconciled
TR-8CCDF97D7E8A,2026-09-05T19:37:10.818899,exact,matched,2025-06-10,NEFT HDFC4558122362 RAZORPAY SOFTWAR PVT LTD order_0034,12292.21,HDFC4558122362,order_0034,pay_79a5ad700bee43,HDFC4558122362,12292.21,12292.21,order_0034,12719.59,0.0,1.0,,"Exact UTR match (HDFC4558122362), amount matches to ₹0.00",No action needed — fully reconciled
TR-7967F803967C,2026-09-05T19:37:10.818901,exact,matched,2025-06-14,BY TRANSFER-NEFT-UTIB3791769367-RAZORPAY SOFTWARE P-order_0031,10143.82,UTIB3791769367,order_0031,pay_7e9024a6a83e4a,UTIB3791769367,10143.82,10143.82,order_0031,10496.51,0.0,1.0,,"Exact UTR match (UTIB3791769367), amount matches to ₹0.00",No action needed — fully reconciled
TR-3F9A6E2F0278,2026-09-05T19:37:10.818903,tolerant,matched,2025-06-17,CLG CREDIT RAZORPAY SOFT 0046 PYMT,13669.46,,order_0046,pay_72d0e1e4055049,ICIC1823374989,13669.46,13669.46,order_0046,14144.72,0.0,0.8,,"Tolerant match — amount diff ₹0.00, date within 1d, fuzzy score 32%",No action needed — matched within tolerance
TR-0AAEA0B6E1B2,2026-09-05T19:37:10.818904,exact,matched,2025-06-18,NEFT/UTIB9570154303/RAZORPAY SOFTWARE PVT LTD/FLIPKART INDIA,7129.03,UTIB9570154303,order_0010,pay_c77a034763a346,UTIB9570154303,7129.03,7129.03,order_0010,7301.35,0.0,1.0,,"Exact UTR match (UTIB9570154303), amount matches to ₹0.00",No action needed — fully reconciled
TR-4215190C6894,2026-09-05T19:37:10.818906,exact,matched,2025-06-20,NEFT/SBIN7360260647/RAZORPAY SOFTWARE PVT LTD/ACME CORP,42154.69,SBIN7360260647,order_0016,pay_7d0c7c97f3c14c,SBIN7360260647,42154.69,42154.69,order_0016,43620.33,0.0,1.0,,"Exact UTR match (SBIN7360260647), amount matches to ₹0.00",No action needed — fully reconciled
TR-D75F37725C81,2026-09-05T19:37:10.818907,exact,matched,2025-06-22,NEFT CR-ICIC0196556981-RAZORPAY SOFTWARE PVT-order_0027,5499.78,ICIC0196556981,order_0027,pay_d01eb6fe913a43,ICIC0196556981,5499.78,5499.78,order_0027,5632.71,0.0,1.0,,"Exact UTR match (ICIC0196556981), amount matches to ₹0.00",No action needed — fully reconciled
TR-AFEB66733656,2026-09-05T19:37:10.818909,exact,matched,2025-06-22,IMPS/HDFC4082400842/RAZORPAY/order_0047/SETTLEMENT,36290.21,HDFC4082400842,order_0047,pay_6bfb434228714b,HDFC4082400842,36290.21,36290.21,order_0047,37551.96,0.0,1.0,,"Exact UTR match (HDFC4082400842), amount matches to ₹0.00",No action needed — fully reconciled
TR-426DE38EAD43,2026-09-05T19:37:10.818910,exact,matched,2025-06-23,IMPS/SBIN1559407816/RAZORPAY/GLOBAL IMPEX/SETTLEMENT,9742.73,SBIN1559407816,order_0003,pay_aaa6c3adcec244,SBIN1559407816,9742.73,9742.73,order_0003,10081.46,0.0,1.0,,"Exact UTR match (SBIN1559407816), amount matches to ₹0.00",No action needed — fully reconciled
TR-989942D11D37,2026-09-05T19:37:10.818912,tolerant,matched,2025-06-26,ONLINE TRF RAZORPAY PVT order_0038 SETL,20037.46,,order_0038,pay_b7a552c971c748,SBIN4170805310,20037.46,20037.46,order_0038,20734.12,0.0,0.82,,"Tolerant match — amount diff ₹0.00, date within 2d, fuzzy score 41%",No action needed — matched within tolerance
TR-9AF9B5D65B35,2026-09-05T19:37:10.818913,llm_assisted,matched,2025-06-28,ONLINE TRF RAZORPAY PVT order_0056 SETL,19612.86,,order_0056 | order_0055,pay_a3852039ac244d | pay_b6749e0958a348,UTIB9065940139 | UTIB9065940139,7407.96 | 12204.9,19612.86,order_0056 | order_0055,7587.01 | 12499.9,0.0,0.98,,"AI-assisted split match — UTR UTIB9065940139 matches both orders and their net amounts sum to the bank credit, with 3‑day lag and order ID in narration. Arithmetic verified: diff ₹0.00",AI-matched and arithmetically verified — review if needed
TR-2AEDB038C16D,2026-09-05T19:37:10.818915,exact,matched,2025-07-03,BY TRANSFER-NEFT-BARB4987769453-RAZORPAY SOFTWARE P-order_0042,30900.87,BARB4987769453,order_0042,pay_f7febd6accfd45,BARB4987769453,30900.87,30900.87,order_0042,31975.23,0.0,1.0,,"Exact UTR match (BARB4987769453), amount matches to ₹0.00",No action needed — fully reconciled
TR-3631FFBE670D,2026-09-05T19:37:10.818917,exact,matched,2025-07-04,BY TRANSFER-NEFT-KKBK8543534624-RAZORPAY SOFTWARE P-SUNRISE TRADERS,27119.59,KKBK8543534624,order_0019,pay_683c8329e82847,KKBK8543534624,27119.59,27119.59,order_0019,28062.48,0.0,1.0,,"Exact UTR match (KKBK8543534624), amount matches to ₹0.00",No action needed — fully reconciled
TR-B67B630E3819,2026-09-05T19:37:10.818918,tolerant,matched,2025-07-04,BY CLG RAZORPAY STTLMNT order_0021,12739.02,,order_0021,pay_f43bb212860d44,KKBK8084124118,12739.02,12739.02,order_0021,13181.94,0.0,0.84,,"Tolerant match — amount diff ₹0.00, date within 2d, fuzzy score 45%",No action needed — matched within tolerance
TR-7E8A00619315,2026-09-05T19:37:10.818920,exact,matched,2025-07-04,BY TRANSFER-NEFT-UTIB1656670106-RAZORPAY SOFTWARE P-PRIYA SHARMA,10933.25,UTIB1656670106,order_0014,pay_625ab03c9fcc46,UTIB1656670106,10933.25,10933.25,order_0014,11313.38,0.0,1.0,,"Exact UTR match (UTIB1656670106), amount matches to ₹0.00",No action needed — fully reconciled
TR-A860591027EA,2026-09-05T19:37:10.818921,exact,matched,2025-07-09,NEFT CR-KKBK9016272046-RAZORPAY SOFTWARE PVT-order_0037,40027.9,KKBK9016272046,order_0037,pay_c85d34bcb90d4b,KKBK9016272046,40027.9,40027.9,order_0037,41419.6,0.0,1.0,,"Exact UTR match (KKBK9016272046), amount matches to ₹0.00",No action needed — fully reconciled
TR-D77B7CE23DCB,2026-09-05T19:37:10.818923,exact,matched,2025-07-12,MMT/NEFT/ICIC9972787558/RAZORPAY/SETTLMNT/order_0063,11367.15,ICIC9972787558,order_0063,pay_030b13a0c4b346,ICIC9972787558,11367.15,11367.15,order_0063,11641.9,0.0,1.0,,"Exact UTR match (ICIC9972787558), amount matches to ₹0.00",No action needed — fully reconciled
TR-4C161AE47E11,2026-09-05T19:37:10.818924,llm_assisted,matched,2025-06-21,ACH CR RAZRPAY STLMT order_0057,14942.96,,order_0057 | order_0058,pay_285e6565b8184d | pay_22951086db164d,KKBK6717565512 | KKBK6717565512,7749.27 | 7193.69,14942.96,order_0057 | order_0058,7936.57 | 7367.56,0.0,0.97,,"AI-assisted split match — Narration mentions order_0057, amount equals sum of order_0057 and order_0058 net amounts, same UTR and 3‑day lag indicate a split settlement. Arithmetic verified: diff ₹0.00",AI-matched and arithmetically verified — review if needed
TR-75A99942C376,2026-09-05T19:37:10.818926,exact,matched,2025-06-21,RTGS/KKBK3136783777/RAZORPAYSOFTWARE/order_0044,38341.19,KKBK3136783777,order_0044,pay_e72c16c0a50e4c,KKBK3136783777,38341.19,38341.19,order_0044,39674.24,0.0,1.0,,"Exact UTR match (KKBK3136783777), amount matches to ₹0.00",No action needed — fully reconciled
TR-4DCA527D8213,2026-09-05T19:37:10.818927,tolerant,matched,2025-06-21,ONLINE TRF RAZORPAY PVT FRESH FOODS CO SETL,27882.13,,order_0023,pay_ab05a7b4b6804a,KKBK6801128059,27882.13,27882.13,order_0023,28851.55,0.0,0.75,,"Tolerant match — amount diff ₹0.00, date within 3d, fuzzy score 15%",No action needed — matched within tolerance
TR-A3B51D6FDB78,2026-09-05T19:37:10.818929,exact,matched,2025-06-22,RTGS/KKBK6507527354/RAZORPAYSOFTWARE/order_0043,38397.57,KKBK6507527354,order_0043,pay_c9af3759325c47,KKBK6507527354,38397.57,38397.57,order_0043,39732.59,0.0,1.0,,"Exact UTR match (KKBK6507527354), amount matches to ₹0.00",No action needed — fully reconciled
TR-381128C3B0B2,2026-09-05T19:37:10.818930,exception,exception,2025-06-22,ONLINE TRF RAZORPAY PVT order_0067 SETL,13614.88,,order_0067,pay_738f20d20f6643,SBIN2386922219,13864.88,13864.88,,,250.0,0.9,AMOUNT_MISMATCH_BEYOND_TOLERANCE,AI proposed match but arithmetic failed: bank ₹13614.88 vs gateway net ₹13864.88 (diff ₹250.00),Verify fee computation or check for partial refund not reflected in gateway
TR-1A3D3520098B,2026-09-05T19:37:10.818932,exception,exception,2025-06-22,NEFT/UTIB9998887776/RAZORPAY ADHOC CREDIT/UNIDENTIFIED,8450.0,UTIB9998887776,,,,,,,,,,NO_CANDIDATE_IN_WINDOW,No gateway record found within ₹5.0 and 5-day window,Check gateway dashboard for settlement status of this order
TR-7A6EEADA6239,2026-09-05T19:37:10.818934,exact,matched,2025-06-23,NEFT HDFC6629946804 RAZORPAY SOFTWAR PVT LTD order_0029,14510.64,HDFC6629946804,order_0029,pay_ba32abbef14144,HDFC6629946804,14510.64,14510.64,order_0029,15015.14,0.0,1.0,,"Exact UTR match (HDFC6629946804), amount matches to ₹0.00",No action needed — fully reconciled
TR-83E2CBB39C73,2026-09-05T19:37:10.818936,exact,matched,2025-06-25,MMT/NEFT/SBIN2704828148/RAZORPAY/SETTLMNT/order_0009,33536.63,SBIN2704828148,order_0009,pay_963c5f3659e84f,SBIN2704828148,33536.63,33536.63,order_0009,34702.64,0.0,1.0,,"Exact UTR match (SBIN2704828148), amount matches to ₹0.00",No action needed — fully reconciled
TR-41EA7BF47474,2026-09-05T19:37:10.818937,exact,matched,2025-06-26,IMPS/SBIN0576627028/RAZORPAY/order_0064/SETTLEMENT,8775.91,SBIN0576627028,order_0064,pay_47c5f188032c49,SBIN0576627028,8775.91,8775.91,order_0064,8988.03,0.0,1.0,,"Exact UTR match (SBIN0576627028), amount matches to ₹0.00",No action needed — fully reconciled
TR-8C30569B2068,2026-09-05T19:37:10.818938,exact,matched,2025-06-26,BY TRANSFER-NEFT-SBIN3872148951-RAZORPAY SOFTWARE P-METRO RETAIL,18970.45,SBIN3872148951,order_0030,pay_19979c514b9b40,SBIN3872148951,18970.45,18970.45,order_0030,19630.02,0.0,1.0,,"Exact UTR match (SBIN3872148951), amount matches to ₹0.00",No action needed — fully reconciled
TR-6B3659E3E954,2026-09-05T19:37:10.818940,exact,matched,2025-06-26,IMPS/BARB1928327648/RAZORPAY/order_0005/SETTLEMENT,7555.49,BARB1928327648,order_0005,pay_4e26dc99d65547,BARB1928327648,7555.49,7555.49,order_0005,7738.11,0.0,1.0,,"Exact UTR match (BARB1928327648), amount matches to ₹0.00",No action needed — fully reconciled
TR-5FC6E6A3821E,2026-09-05T19:37:10.818941,exact,matched,2025-06-28,NEFT/BARB1034131647/RAZORPAY SOFTWARE PVT LTD/order_0004,36151.58,BARB1034131647,order_0004,pay_6bc82352b6794a,BARB1034131647,36151.58,36151.58,order_0004,37408.51,0.0,1.0,,"Exact UTR match (BARB1034131647), amount matches to ₹0.00",No action needed — fully reconciled
TR-C92AAE0A7CC4,2026-09-05T19:37:10.818943,exact,matched,2025-06-28,NEFT/SBIN0366909670/RAZORPAY SOFTWARE PVT LTD/order_0035,18324.51,SBIN0366909670,order_0035,pay_9769a268400148,SBIN0366909670,18324.51,18324.51,order_0035,18961.62,0.0,1.0,,"Exact UTR match (SBIN0366909670), amount matches to ₹0.00",No action needed — fully reconciled
TR-84C5F2CD9596,2026-09-05T19:37:10.818944,tolerant,matched,2025-06-30,ONLINE TRF RAZORPAY PVT order_0012 SETL,17641.79,,order_0012,pay_e91f6bf12c0b49,SBIN1331509839,17641.79,17641.79,order_0012,18255.16,0.0,0.82,,"Tolerant match — amount diff ₹0.00, date within 4d, fuzzy score 41%",No action needed — matched within tolerance
TR-BF6CFC939EFD,2026-09-05T19:37:10.818946,exact,matched,2025-06-30,NEFT/ICIC9578856855/RAZORPAY SOFTWARE PVT LTD/order_0045,13136.74,ICIC9578856855,order_0045,pay_ccb0a069821942,ICIC9578856855,13136.74,13136.74,order_0045,13593.48,0.0,1.0,,"Exact UTR match (ICIC9578856855), amount matches to ₹0.00",No action needed — fully reconciled
TR-C33C8741B0EA,2026-09-05T19:37:10.818947,exception,exception,,,0.0,,order_0068,,,,,order_0068,15873.05,,,PENDING_NOT_YET_SETTLED,Order exists in ledger but no settlement yet — still in pipeline,No action needed — settlement expected within normal processing window
TR-E75A42D5247B,2026-09-05T19:37:10.818949,exception,exception,,,0.0,,order_0069,,,,,order_0069,12067.6,,,PENDING_NOT_YET_SETTLED,Order exists in ledger but no settlement yet — still in pipeline,No action needed — settlement expected within normal processing window
TR-E1AC9C5FEFDE,2026-09-05T19:37:10.818950,exception,exception,,,0.0,,order_0071,,,,,order_0071,11601.51,,,PENDING_NOT_YET_SETTLED,Order exists in ledger but no settlement yet — still in pipeline,No action needed — settlement expected within normal processing window
TR-29056F11363D,2026-09-05T19:37:10.818951,exception,exception,,,0.0,,order_0070,,,,,order_0070,22573.8,,,PENDING_NOT_YET_SETTLED,Order exists in ledger but no settlement yet — still in pipeline,No action needed — settlement expected within normal processing window
TR-3805C91FB23F,2026-09-05T19:37:10.818952,exception,exception,,,0.0,,order_0072,,,,,order_0072,17567.52,,,PENDING_NOT_YET_SETTLED,Order exists in ledger but no settlement yet — still in pipeline,No action needed — settlement expected within normal processing window
